Identificacion,Apellidos,Nombres,Edad,Genero,Ubicacion,Curso,Nivel,CalificacionMision1,CalificacionMision2,CalificacionMision3,CalificacionFinal
182571674,Gómez Álvarez,Laura,22,F,Sincelejo,Ciberseguridad,Avanzado,2.3,1.5,1.1,1.7
198825083,Ramírez Sánchez,María,29,F,,Inteligencia artificial,Básico,1.2,0.1,0.4,0.6
154196734,Hernández Ramírez,Sergio,18,M,Sincelejo,Inteligencia artificial,Avanzado,1.1,2.0,2.9,2.0
161152700,Castro Pérez,Paula,33,F,Montería,Arquitectura en la nube,Avanzado,1.6,1.7,1.4,1.6
120986868,Hernández Ortiz,Carmen,20,F,Montería,Programación,Avanzado,1.6,0.7,0.6,1.0
166987271,Castro Rodríguez,Gabriela,35,F,Sincelejo,Arquitectura en la nube,Básico,0.7,1.0,1.8,1.2
137345820,Sánchez Flores,David,20,M,Monteria,Ciberseguridad,Intermedio,2.2,0.1,0.1,0.9
116285088,Romero Sánchez,Sergio,35,M,Cartagena,Programación,Avanzado,2.1,1.2,1.2,1.6
168720660,Castro Mendoza,María,23,F,MOntería,Análisis de datos,Básico,1.9,0.9,0.7,1.2
185356616,Soto Fernández,Camila,36,F,MOntería,Arquitectura en la nube,Básico,0.7,0.1,1.5,0.8
142043445,Torres Álvarez,Camila,44,F,Sincelejo,Inteligencia artificial,Intermedio,4.1,0.4,2.9,2.5
158515838,Gómez Flores,Alejandro,32,M,MOntería,Inteligencia artificial,Avanzado,3.2,4.5,4.9,4.2
171580593,García Romero,Camila,32,F,Sincelejo,Ciberseguridad,Básico,4.5,2.6,2.0,3.1
189945266,García López,Patricia,21,F,Sincelejo,Arquitectura en la nube,Básico,4.2,0.3,,2.3
125734209,Jiménez Álvarez,Luis,28,M,Montería,Análisis de datos,Intermedio,1.7,2.3,2.0,2.0
153669391,Ruiz Gómez,Mariana,25,F,Sincelejo,Blockchain,Intermedio,2.1,2.6,3.0,2.6
131900338,Morales González,Carolina,22,F,sincelejo,Análisis de datos,Básico,1.7,,2.7,2.2
162576779,Gutiérrez Torres,Antonio,19,M,Montería,Arquitectura en la nube,Intermedio,1.7,0.5,3.4,1.9
160066487,Díaz Álvarez,Camila,33,F,Sincelejo,Ciberseguridad,Avanzado,1.4,3.7,1.0,2.1
186415031,Morales Álvarez,Sofía,43,F,Montería,Programación,Básico,2.7,0.3,0.7,1.3
196787694,Martínez Gutiérrez,David,28,M,Cartagena,Análisis de datos,Avanzado,0.5,2.7,1.3,1.6
119810404,Ortiz Hernández,Carmen,24,F,Montería,Blockchain,Avanzado,1.1,0.6,3.0,1.6
158766345,Romero Gómez,Javier,30,M,Sincelejo,Blockchain,Intermedio,2.9,2.8,2.8,2.9
126203305,Martínez González,Gabriela,23,F,Montería,Análisis de datos,Básico,3.0,2.5,4.7,3.4
142359860,Castro Hernández,Natalia,23,F,,Análisis de datos,Intermedio,2.4,0.4,0.3,1.1
186165878,Ortiz Castro,Carolina,25,F,cartagena,Ciberseguridad,Intermedio,5.0,2.9,0.0,2.7
137132021,Ortiz Ruiz,Mariana,41,F,Sincelejo,Ciberseguridad,Intermedio,4.1,2.7,4.2,3.7
185495044,Flores Jiménez,Sergio,39,M,Montería,Análisis de datos,Intermedio,1.0,2.6,3.8,2.5
190480036,Soto Soto,Mariana,21,F,Cartagena,Programación,Avanzado,3.0,2.3,2.7,2.7
171119361,Morales Ramírez,Carmen,19,F,Montería,Arquitectura en la nube,Básico,0.7,,2.4,1.6
163050917,Soto Fernández,Daniela,34,F,Montería,Blockchain,Intermedio,3.7,4.7,1.0,3.2
128161634,Martínez Mendoza,Daniel,25,M,cartagena,Blockchain,Básico,0.2,4.1,4.0,2.8
164256930,Flores Sánchez,Juan,22,M,Montería,Inteligencia artificial,Básico,3.2,1.6,3.4,2.8
172056263,Ramírez Martínez,Carolina,31,F,Sincelejo,Inteligencia artificial,Intermedio,3.1,2.2,1.8,2.4
180790126,Castro Morales,Carlos,31,M,Montería,Inteligencia artificial,Básico,1.1,2.2,3.7,2.4
136704425,López González,Sebastián,32,M,Monteria,Análisis de datos,Avanzado,2.5,2.9,3.8,3.1
193667964,Díaz Rodríguez,Lucía,40,F,Montería,Arquitectura en la nube,Avanzado,1.0,2.5,0.5,1.4
132468492,Ortiz Rodríguez,Natalia,21,F,sincelejo,Análisis de datos,Avanzado,3.0,2.7,2.0,2.6
115525633,González Gómez,María,36,F,Monteria,Inteligencia artificial,Intermedio,2.7,1.7,4.5,3.0
199729573,Castro Martínez,Ricardo,40,M,Cartagena,Análisis de datos,Intermedio,4.7,2.9,3.1,3.6
187782638,López Rodríguez,Luis,28,M,Sincelejo,Inteligencia artificial,Avanzado,2.8,4.6,0.8,2.8
169220571,Flores Ramírez,Emilio,26,M,Sincelejo,Arquitectura en la nube,Básico,3.7,4.6,0.6,3.0
179111188,Morales Gutiérrez,José,21,M,Montería,Blockchain,Intermedio,4.6,2.6,2.0,3.1
187652169,Gutiérrez Ortiz,Mariana,38,F,Sincelejo,Inteligencia artificial,Básico,0.6,4.3,2.3,2.4
161913178,Flores Soto,Javier,34,M,Sincelejo,Análisis de datos,Intermedio,0.2,1.2,0.8,0.8
121292148,López Fernández,Carolina,34,F,Sincelejo,Inteligencia artificial,Avanzado,1.4,1.1,4.9,2.5
145966581,Castro Rodríguez,Daniel,25,M,Cartagena,Ciberseguridad,Básico,3.0,3.7,4.5,3.8
185761695,Martínez Rodríguez,Sofía,34,F,Sincelejo,Análisis de datos,Intermedio,,2.8,3.9,3.4
177812526,Flores Díaz,Pedro,39,M,Cartagena,Ciberseguridad,Intermedio,2.0,0.8,4.3,2.4
147003110,Gutiérrez López,Patricia,27,F,Sincelejo,Inteligencia artificial,Intermedio,3.2,0.1,3.6,2.4
121484508,Ruiz García,Carolina,42,F,Sincelejo,Ciberseguridad,Intermedio,1.2,0.1,4.0,1.8
163517362,Pérez Soto,Carmen,32,F,Montería,Ciberseguridad,Avanzado,4.0,3.0,4.8,4.0
139677043,Fernández García,Alejandro,38,M,Sincelejo,Blockchain,Básico,1.6,3.2,4.2,3.0
116202258,Hernández Díaz,Patricia,45,F,Sincelejo,Inteligencia artificial,Avanzado,4.6,1.7,1.8,2.7
122790902,Torres Morales,Patricia,22,F,Cartagena,Análisis de datos,Básico,3.9,4.3,4.9,4.4
174910615,Ruiz Díaz,Laura,41,F,sincelejo,Análisis de datos,Avanzado,2.4,2.4,3.7,2.9
158730049,Ortiz Díaz,Rosa,24,F,Sincelejo,Programación,Intermedio,3.2,0.7,3.5,2.5
188987338,Flores Soto,Alejandro,38,M,Cartagena,Ciberseguridad,Básico,2.5,2.0,3.6,2.7
165098996,Ruiz Ortiz,Emilio,38,M,sincelejo,Programación,Avanzado,1.3,1.3,2.5,1.8
156361481,Mendoza Martínez,Valentina,43,F,Cartagena,Arquitectura en la nube,Intermedio,3.9,1.8,0.9,2.2
150381731,Álvarez Soto,Alejandro,38,M,Cartagena,Inteligencia artificial,Avanzado,2.2,3.6,4.7,3.5
141873646,Ruiz González,Juan,39,M,Sincelejo,Blockchain,Intermedio,1.1,,3.0,2.1
196654442,Mendoza Castro,Pedro,44,M,Montería,Programación,Básico,1.7,0.5,3.6,2.0
184842172,Jiménez Ramírez,Juan,27,M,Cartagena,Inteligencia artificial,Avanzado,0.4,0.0,0.0,0.2
150131083,Romero González,Sofía,29,F,Sincelejo,Análisis de datos,Intermedio,4.8,3.5,0.4,3.0
198780367,Mendoza Ortiz,Laura,25,F,Sincelejo,Arquitectura en la nube,Avanzado,3.8,3.2,4.5,3.9
120563214,Álvarez Flores,Catalina,26,F,Sincelejo,Programación,Avanzado,0.2,4.6,2.8,2.6
149678201,Sánchez Hernández,Gabriela,32,F,Sincelejo,Arquitectura en la nube,Básico,1.5,4.9,2.4,3.0
188566365,Romero Ruiz,Daniela,20,F,Monteria,Análisis de datos,Básico,4.1,,1.2,2.7
162879148,Castro Hernández,Santiago,22,M,,Ciberseguridad,Intermedio,2.2,2.9,2.7,2.6
133215061,Martínez Fernández,Javier,35,M,Montería,Análisis de datos,Intermedio,2.1,2.1,5.0,3.1
111020154,Ruiz Gómez,Daniela,30,F,Sincelejo,Blockchain,Intermedio,4.7,0.0,0.4,1.8
137259197,Gutiérrez Jiménez,Carolina,42,F,Montería,Blockchain,Avanzado,1.4,0.5,2.6,1.6
168075712,Ortiz Martínez,Sofía,20,F,Sincelejo,Inteligencia artificial,Intermedio,1.5,3.6,1.4,2.2
127562548,Mendoza Mendoza,Santiago,26,M,Montería,Ciberseguridad,Intermedio,2.0,4.8,1.3,2.7
158665285,Gutiérrez Flores,Ana,31,F,Sincelejo,Programación,Intermedio,4.5,3.7,2.0,3.4
160763061,Ruiz Jiménez,Pedro,30,M,Sincelejo,Inteligencia artificial,Básico,0.2,0.2,4.1,1.6
193836420,González Gómez,María,32,F,,Arquitectura en la nube,Básico,2.6,2.6,2.6,2.6
146595773,Gómez Ramírez,Juan,20,M,Sincelejo,Programación,Avanzado,1.1,2.7,2.9,2.3
195607690,Pérez Torres,Lucía,20,F,Sincelejo,Inteligencia artificial,Básico,2.4,,0.2,1.4
181087566,Díaz Morales,Laura,22,F,Sincelejo,Ciberseguridad,Básico,1.4,0.0,0.2,0.6
115809041,Mendoza Ortiz,Emilio,45,M,cartagena,Arquitectura en la nube,Básico,4.5,0.3,2.6,2.5
111132658,Martínez Martínez,Daniel,41,M,Sincelejo,Blockchain,Básico,2.7,3.7,4.3,3.6
139342048,Torres López,David,33,M,Cartagena,Ciberseguridad,Avanzado,4.2,3.4,3.8,3.8
120115078,Romero Romero,Daniela,30,F,Sincelejo,Ciberseguridad,Intermedio,0.1,0.6,3.7,1.5
129369886,Ortiz Gómez,Sergio,19,M,Monteria,Blockchain,Avanzado,2.5,,3.1,2.8
163412976,Martínez García,Javier,25,M,Cartagena,Análisis de datos,Básico,3.2,3.9,3.8,3.7
153020873,López González,Daniela,19,F,Sincelejo,Análisis de datos,Avanzado,3.2,0.5,3.4,2.4
132922481,Sánchez Rodríguez,Paula,34,F,Sincelejo,Ciberseguridad,Intermedio,3.5,0.3,4.3,2.7
130353727,Pérez Díaz,Mariana,29,F,Montería,Inteligencia artificial,Básico,0.7,0.1,,0.4
157718021,Pérez López,Juan,36,M,Cartagena,Programación,Intermedio,0.0,2.3,0.5,1.0
154924392,Mendoza Castro,Miguel,40,M,Sincelejo,Blockchain,Intermedio,1.5,3.9,0.7,2.1
167396048,Romero Sánchez,Juan,41,M,Sincelejo,Arquitectura en la nube,Básico,4.7,3.2,1.4,3.1
175402242,Mendoza Sánchez,Andrea,43,F,Sincelejo,Blockchain,Avanzado,1.1,0.2,1.8,1.1
198511758,Flores Romero,Eduardo,44,M,Sincelejo,Inteligencia artificial,Básico,0.9,3.9,4.2,3.0
157347699,Rodríguez Fernández,Patricia,29,F,Cartagenna,Análisis de datos,Básico,,3.1,2.4,2.8
129659206,Flores Mendoza,Valentina,29,F,cartagena,Ciberseguridad,Avanzado,2.8,0.8,1.6,1.8
180047063,Soto Gutiérrez,Camila,30,F,Montería,Programación,Avanzado,2.3,2.0,3.6,2.7
113151882,Mendoza Martínez,Andrea,18,F,Montería,Arquitectura en la nube,Básico,4.5,3.7,0.5,2.9
146097069,Martínez Gómez,Santiago,33,M,,Blockchain,Avanzado,1.1,3.9,0.4,1.9
122851424,García Romero,Gabriela,30,F,MOntería,Programación,Avanzado,4.1,1.6,1.0,2.3
134455289,Fernández Pérez,Sebastián,19,M,Cartagena,Arquitectura en la nube,Intermedio,,4.8,4.5,4.7
114409352,Martínez Díaz,Daniel,24,M,Sincelejo,Ciberseguridad,Básico,1.5,4.7,3.9,3.4
189491182,Díaz González,Paula,24,F,Montería,Programación,Avanzado,2.8,3.9,0.2,2.3
143283771,Fernández García,Santiago,28,M,Cartagena,Blockchain,Básico,3.0,2.4,1.6,2.4
116152941,Martínez Ortiz,David,25,M,Montería,Ciberseguridad,Intermedio,2.2,,0.1,1.2
151681557,Sánchez Díaz,Antonio,41,M,Sincelejo,Análisis de datos,Básico,3.3,3.4,0.2,2.3
142997728,Mendoza Díaz,Sofía,34,F,Montería,Blockchain,Avanzado,3.6,2.1,1.9,2.6
191173011,Fernández Sánchez,Elena,35,F,Sincelejo,Programación,Intermedio,2.9,3.6,4.4,3.7
160277283,Díaz Fernández,Daniela,27,F,Cartagena,Programación,Avanzado,1.4,1.9,4.2,2.5
183195232,Castro Morales,Laura,25,F,sincelejo,Blockchain,Intermedio,3.0,1.9,2.1,2.4
138487589,Ramírez Mendoza,David,39,M,Montería,Análisis de datos,Intermedio,2.2,1.8,0.8,1.6
179069690,Morales Jiménez,Sofía,45,F,Sincelejo,Análisis de datos,Avanzado,3.3,3.9,4.8,4.0
179963054,Castro Ramírez,Ana,27,F,Montería,Blockchain,Avanzado,0.8,1.7,2.2,1.6
157602635,Fernández Morales,Alejandro,39,M,Sincelejo,Ciberseguridad,Básico,0.2,3.3,4.2,2.6
148090551,Rodríguez Gutiérrez,Mariana,32,F,Cartagena,Arquitectura en la nube,Avanzado,2.7,,0.6,1.7
163175588,Díaz Ramírez,Elena,18,F,Montería,Análisis de datos,Básico,2.3,1.6,0.2,1.4
186794548,Gómez Mendoza,Carolina,44,F,Sincelejo,Ciberseguridad,Avanzado,,3.2,2.3,2.8
176984430,González Gutiérrez,Sebastián,40,M,Montería,Ciberseguridad,Básico,0.7,,3.5,2.1
171647593,Castro Soto,Catalina,25,F,Montería,Programación,Avanzado,0.5,2.2,0.9,1.2
132015777,Castro Álvarez,Carmen,40,F,Sincelejo,Inteligencia artificial,Intermedio,3.4,3.1,2.9,3.2
193149786,Ruiz Fernández,Juan,31,M,Sincelejo,Arquitectura en la nube,Básico,3.0,4.1,2.9,3.4
130717501,Mendoza Ruiz,Ana,35,F,Montería,Programación,Avanzado,1.6,5.0,0.5,2.4
141935646,Martínez Ruiz,Miguel,21,M,Cartagena,Ciberseguridad,Intermedio,3.8,2.2,4.4,3.5
130167958,Díaz Álvarez,Valentina,28,F,Sincelejo,Ciberseguridad,Intermedio,1.5,1.6,3.0,2.1
114032654,Sánchez Martínez,Rosa,45,F,Montería,Ciberseguridad,Intermedio,3.0,2.2,,2.6
151655138,Fernández Mendoza,Gabriel,31,M,Montería,Análisis de datos,Avanzado,2.3,4.3,2.4,3.0
115438684,González Díaz,Pedro,29,M,Montería,Programación,Básico,2.6,2.4,2.7,2.6
187411194,Mendoza Ruiz,Ricardo,38,M,Cartagena,Arquitectura en la nube,Básico,0.0,4.5,4.6,3.1
151464131,Castro Morales,Sergio,39,M,Montería,Ciberseguridad,Avanzado,0.8,2.6,4.6,2.7
114338843,Romero Romero,Juan,33,M,Sincelejo,Análisis de datos,Intermedio,3.6,4.9,2.6,3.7
177284075,Mendoza Fernández,Carolina,30,F,Montería,Ciberseguridad,Básico,1.5,0.9,2.1,1.6
123952821,Romero Soto,Andrés,41,M,Montería,Programación,Avanzado,0.6,,2.6,1.7
150071048,González Álvarez,Elena,32,F,Sincelejo,Análisis de datos,Avanzado,2.1,4.5,1.2,2.6
199380419,Hernández Castro,Mariana,36,F,Cartagena,Ciberseguridad,Básico,3.4,3.8,2.1,3.1
160526894,Ortiz Ruiz,Fernando,29,M,Cartagena,Arquitectura en la nube,Avanzado,1.1,0.1,3.0,1.5
176346143,Ruiz Pérez,Pedro,26,M,Montería,Arquitectura en la nube,Intermedio,3.0,4.9,3.5,3.9
132406697,López Gómez,Andrea,24,F,Cartagena,Inteligencia artificial,Intermedio,0.1,4.1,1.7,2.0
182668141,Díaz Ortiz,Alejandro,22,M,Montería,Inteligencia artificial,Básico,1.0,1.1,0.3,0.8
191861168,Pérez Morales,Daniel,45,M,Cartagena,Programación,Intermedio,1.2,4.4,2.7,2.8
160825596,Martínez Ortiz,Ricardo,39,M,Montería,Análisis de datos,Avanzado,5.0,2.8,2.3,3.4
187202069,Ramírez Ramírez,Paula,21,F,Cartagena,Análisis de datos,Intermedio,3.2,0.9,2.1,2.1
149970870,Ruiz Ramírez,Juan,34,M,Cartagena,Arquitectura en la nube,Básico,4.9,1.9,4.9,4.0
196012533,González Torres,Patricia,25,F,Montería,Arquitectura en la nube,Básico,1.2,0.5,3.9,1.9
199920287,Sánchez García,Daniela,33,F,MOntería,Inteligencia artificial,Intermedio,0.8,0.6,1.7,1.1
135381224,Díaz Morales,Andrea,44,F,Sincelejo ,Programación,Intermedio,2.5,1.4,4.4,2.8
133683333,Díaz Hernández,Javier,28,M,Sincelejo,Arquitectura en la nube,Avanzado,2.8,2.5,2.7,2.7
122670380,Gutiérrez Soto,Ana,41,F,Sincelejo,Programación,Básico,3.6,1.1,1.6,2.1
184193473,Díaz Ramírez,Sebastián,20,M,Montería,Ciberseguridad,Básico,4.9,4.1,4.3,4.5
180897827,Ruiz Morales,María,18,F,Montería,Inteligencia artificial,Avanzado,3.8,2.5,0.7,2.4
134362375,Gómez Jiménez,Isabella,21,F,Cartagena,Inteligencia artificial,Intermedio,4.8,4.8,1.6,3.8
136379085,González García,Isabella,45,F,Cartagena,Ciberseguridad,Básico,0.0,,1.8,1.0
159223966,Gutiérrez Morales,Pedro,36,M,,Arquitectura en la nube,Básico,1.1,3.8,1.5,2.2
197746642,Torres Ramírez,Sebastián,38,M,Sincelejo,Ciberseguridad,Básico,1.5,3.5,2.5,2.5
153570727,Díaz Soto,Elena,24,F,Sincelejo,Análisis de datos,Avanzado,0.9,4.2,4.0,3.1
162762173,García Torres,Valentina,20,F,Montería,Ciberseguridad,Básico,2.1,3.7,0.1,2.0
152537345,González Morales,Andrés,38,M,cartagena,Blockchain,Intermedio,,3.8,2.7,3.3
157246348,Ramírez Jiménez,Elena,35,F,MOntería,Inteligencia artificial,Básico,1.0,0.2,1.3,0.9
182487614,Morales Fernández,Valentina,40,F,Montería,Ciberseguridad,Intermedio,0.6,1.2,4.1,2.0
197322332,Castro Soto,Camila,23,F,Sincelejo,Ciberseguridad,Básico,4.8,0.5,4.7,3.4
